Event: solarUpdate at time 0 with data 0.0
Event: carBeginsCharging at time 29155 with data Car ID: 47, chargingVolume: 6, connectionTime: 41283 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 29155
Event: carExpectedStopCharging at time 29160.0 with data Car ID: 34, chargingVolume: 4, connectionTime: 46227 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 26760
Event: carStopsCharging at time 29160.0 with data Car ID: 34, chargingVolume: 4, connectionTime: 46227 parkingPlace: 2, amountCharged: 4.0, carParksVisited: ['2'], arrivalTime: 26760
Event: carArrives at time 29205 with data Car ID: 48, chargingVolume: 21, connectionTime: 35899 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 29205
Event: carBeginsCharging at time 29205 with data Car ID: 48, chargingVolume: 21, connectionTime: 35899 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 29205
Event: carArrives at time 29282 with data Car ID: 49, chargingVolume: 4, connectionTime: 32279 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 29282
Event: carBeginsCharging at time 29282 with data Car ID: 49, chargingVolume: 4, connectionTime: 32279 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 29282
Event: carArrives at time 29306 with data Car ID: 50, chargingVolume: 7, connectionTime: 60843 parkingPlace: 3, amountCharged: 0, carParksVisited: ['3'], arrivalTime: 29306
Event: carArrives at time 29361 with data Car ID: 51, chargingVolume: 4, connectionTime: 32320 parkingPlace: 7, amountCharged: 0, carParksVisited: ['7'], arrivalTime: 29361
Event: carBeginsCharging at time 29361 with data Car ID: 51, chargingVolume: 4, connectionTime: 32320 parkingPlace: 7, amountCharged: 0, carParksVisited: ['7'], arrivalTime: 29361
Event: carExpectedStopCharging at time 29500.0 with data Car ID: 15, chargingVolume: 38, connectionTime: 32781 parkingPlace: 3, amountCharged: 0, carParksVisited: ['3'], arrivalTime: 6700
Event: carStopsCharging at time 29500.0 with data Car ID: 15, chargingVolume: 38, connectionTime: 32781 parkingPlace: 3, amountCharged: 38.0, carParksVisited: ['3'], arrivalTime: 6700
Event: carArrives at time 29558 with data Car ID: 52, chargingVolume: 8, connectionTime: 119409 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 29558
Event: carArrives at time 29566 with data Car ID: 53, chargingVolume: 33, connectionTime: 105601 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 29566
Event: carExpectedStopCharging at time 29711.0 with data Car ID: 33, chargingVolume: 5, connectionTime: 17941 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 26711
Event: carStopsCharging at time 29711.0 with data Car ID: 33, chargingVolume: 5, connectionTime: 17941 parkingPlace: 5, amountCharged: 5.0, carParksVisited: ['5'], arrivalTime: 26711
Event: carExpectedStopCharging at time 29777.0 with data Car ID: 29, chargingVolume: 6, connectionTime: 23048 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 26177
